
record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,raw_hash
SCR_GF_1789014489_073,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,150.0,2 hr 30 min,Economy,6582.0,,,True,46b8dba45196
SCR_GF_1789014489_074,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,6582.0,,,True,46b8dba45196
SCR_GF_1789014489_075,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,6582.0,,,True,46b8dba45196
SCR_GF_1789014489_076,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,6582.0,,,True,46b8dba45196
SCR_GF_1789014489_077,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,140.0,2 hr 20 min,Economy,6582.0,,,True,46b8dba45196
SCR_GF_1789014489_078,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,135.0,2 hr 15 min,Economy,6583.0,,,True,8a711d2bb76a
SCR_GF_1789014489_079,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,140.0,2 hr 20 min,Economy,6583.0,,,True,8a711d2bb76a
SCR_GF_1789014489_080,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,135.0,2 hr 15 min,Economy,6583.0,,,True,8a711d2bb76a
SCR_GF_1789014489_081,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,6740.0,,,True,769f1b50981b
SCR_GF_1789014489_082,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,135.0,2 hr 15 min,Economy,6740.0,,,True,769f1b50981b
SCR_GF_1789014489_083,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,150.0,2 hr 30 min,Economy,6779.0,,,True,1d26920ae64d
SCR_GF_1789014489_084,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,130.0,2 hr 10 min,Economy,6793.0,,,True,b242fc4c8134
SCR_GF_1789014489_085,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,135.0,2 hr 15 min,Economy,6793.0,,,True,b242fc4c8134
SCR_GF_1789014489_086,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,140.0,2 hr 20 min,Economy,6880.0,,,True,f26110650856
SCR_GF_1789014489_087,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,135.0,2 hr 15 min,Economy,6880.0,,,True,f26110650856
SCR_GF_1789014489_088,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,6880.0,,,True,f26110650856
SCR_GF_1789014489_089,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,6950.0,,,True,6c1d68de15f9
SCR_GF_1789014489_090,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,6950.0,,,True,6c1d68de15f9
SCR_GF_1789014489_091,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,140.0,2 hr 20 min,Economy,7055.0,,,True,2e8c3c7e0239
SCR_GF_1789014489_092,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,140.0,2 hr 20 min,Economy,7527.0,,,True,63390166fd7a
SCR_GF_1789014489_093,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,140.0,2 hr 20 min,Economy,8419.0,,,True,61961145842e
SCR_GF_1789014489_094,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,140.0,2 hr 20 min,Economy,9569.0,,,True,0fa6d5fef58e
