record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,stops,raw_hash
SCR_GF_1789055816_047,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,3:25,5:35,130,2 hr 10 min,Economy,7117.0,,,True,Non-stop,5561c70a5fa3
SCR_GF_1789055816_048,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,9:50,11:55,125,2 hr 5 min,Economy,7272.0,,,True,Non-stop,23d5b1398472
SCR_GF_1789055816_049,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,12:30,2:25,115,1 hr 55 min,Economy,7272.0,,,True,Non-stop,250cb8105fc9
SCR_GF_1789055816_050,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,6:35,8:35,120,2 hr,Economy,7353.0,,,True,Non-stop,cf1f0ab905de
SCR_GF_1789055816_051,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,10:00,12:05,125,2 hr 5 min,Economy,7353.0,,,True,Non-stop,20468b4c4e17
SCR_GF_1789055816_052,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,7:45,9:50,125,2 hr 5 min,Economy,7432.0,,,True,Non-stop,af7f073526b5
SCR_GF_1789055816_053,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,6:30,8:35,125,2 hr 5 min,Economy,7468.0,,,True,Non-stop,3375ba7e62c4
SCR_GF_1789055816_054,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,5:30,7:25,115,1 hr 55 min,Economy,7549.0,,,True,Non-stop,02d35238310f
SCR_GF_1789055816_055,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,8:05,9:55,110,1 hr 50 min,Economy,7587.0,,,True,Non-stop,ec2eb52041fb
SCR_GF_1789055816_056,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,9:30,11:25,115,1 hr 55 min,Economy,7587.0,,,True,Non-stop,3e9104b06ecb
